 1 point match

 Game 1
 gnubg : 0                      mocsar : 0
  1) 41: 13/9 24/23              61: 13/7 8/7 
  2) 32: 23/21 24/21             43: 24/20 24/21 
  3) 52: 6/4* 9/4                51: 25/20 6/5 
  4) 44: 13/9 13/9 13/9 13/9     52: 7/5 13/8 
  5) 32: 21/18* 18/16            41: 25/24 13/9* 
  6) 55:                         53: 9/4* 13/10 
  7) 41: 25/21* 25/24            32: 25/22 6/4* 
  8) 51: 25/24 6/1*              61: 25/24* 10/4 
  9) 31: 25/22 24/23             62: 20/14 22/20 
 10) 33: 9/6 9/6 6/3 6/3         31: 6/3* 3/2* 
 11) 53: 25/22                   21: 14/12 2/1* 
 12) 21: 25/23 25/24*            65: 25/20 20/14 
 13) 61: 8/7 7/1*                42: 25/23 12/8 
 14) 32: 4/1 4/2*                53: 25/20 8/5 
 15) 21: 24/22 23/22             43: 14/10 13/10 
 16) 41: 3/2 22/18               42: 20/18 18/14 
 17) 32: 6/3 18/16               51: 10/9* 14/9 
 18) 41: 25/24 22/18             53: 10/7* 8/3* 
 19) 33: 25/22* 25/22 9/6 9/6    52: 25/20 9/7 
 20) 65: 22/16* 16/11            21: 
 21) 63: 11/8 22/16              62: 
 22) 44: 16/12 8/4 8/4 8/4       54: 25/20 20/16 
 23) 44: 12/8 8/4 6/2 6/2        53: 16/13 20/15 
 24) 44: 6/2 6/2                 11: 20/19 20/19 19/18 19/18
 25) 33: 4/1 4/1 4/1 4/1         42: 18/16 18/14 
 26) 43:                         32: 16/14 14/11 
 27) 52: 24/22                   63: 13/7 7/4 
 28) 63: 22/16 16/13             31: 15/12* 14/13 
 29) 61: 25/24                   66: 13/7 12/6 8/2 8/2
 30) 64:                         44: 11/7 7/3 7/3 5/1*
 31) 54:                         41: 6/5 5/1 
 32) 32:                         53: 7/4 7/2 
 33) 11:                         66: 6/0 6/0 5/0 5/0
 34) 31:                         54: 4/0 4/0 
 35) 41:                         52: 4/0 4/2 
 36) 53: 25/20 20/17             55: 3/0 3/0 2/0 2/0
                                  Wins 2 points

