 1 point match

 Game 1
 gnubg : 0                      mocsar : 0
  1) 63: 24/18 13/10             51: 13/8 8/7* 
  2) 52: 25/23 23/18*            65: 25/20 13/7* 
  3) 65: 25/20 24/18*            22: 25/23 24/22 22/20 6/4
  4) 43: 13/10 20/16             43: 13/9* 6/3 
  5) 21: 25/24 18/16*            63: 25/22 22/16 
  6) 41: 13/9* 10/9              44: 25/21 13/9* 13/9 8/4
  7) 66:                         53: 6/3 20/15* 
  8) 55: 25/20 25/20 9/4* 9/4    65: 25/20 15/9 
  9) 32: 6/4 4/1*                43: 25/22 22/18 
 10) 62: 20/18 24/18             53: 23/18 8/5* 
 11) 31: 25/24 6/3               21: 6/5 8/6 
 12) 54: 6/2 8/3                 31: 9/6 6/5 
 13) 63: 4/1 24/18               32: 20/18 18/15 
 14) 41: 18/17 17/13             42: 15/13 13/9 
 15) 62: 8/2 8/6                 53: 9/4 5/2 
 16) 53: 18/15 18/13             54: 9/4 9/5 
 17) 21: 15/14 6/4               52: 18/13 13/11* 
 18) 41: 25/24 13/9              53: 20/15 18/15 
 19) 53: 13/8 8/5                52: 11/6 4/2 
 20) 53: 9/6 6/1                 51: 6/1* 4/3 
 21) 63:                         65: 15/10 15/9 
 22) 53:                         51: 6/1 6/5 
 23) 61: 25/19 13/12             41: 10/6* 6/5 
 24) 31:                         65: 9/4 5/0 
 25) 65: 25/19 13/8              53: 5/0 3/0 
 26) 54: 19/14 14/10             42: 2/0 4/0 
 27) 66: 12/6 10/4 8/2 6/0       52: 2/0 5/0 
 28) 43: 4/0 3/0                 55: 5/0 5/0 4/0 4/0
 29) 63: 6/0 6/3                 41: 1/0 3/0 
                                  Wins 1 point

